order_id,customer_id,seller_id,order_date,payment_method
708286564,11438023,5184057,2023-03-11,MasterCard
648479150,14224922,6444370,2030-10-24,Chase
642398948,15598950,7149756,2030-07-05,Discover
661208073,16595367,2924173,2025-06-23,Discover
787328975,19304333,4181125,2021-12-18,American Express
687113461,18189205,5201470,2028-02-14,Discover
799867515,16362094,2760750,2028-03-29,Chase
717891942,15969603,3949989,2026-01-22,American Express
708016586,17054034,5143497,2025-10-16,Chase
778604001,15251511,7610836,2030-05-09,Visa
710473204,16130126,5228069,2026-04-18,Discover
682617159,13892934,2304951,2030-03-21,MasterCard
603602831,12475100,4893764,2025-04-12,MasterCard
647217681,14885911,2623178,2025-04-11,MasterCard
733582723,16464256,7470879,2028-10-20,Visa
719528661,15788816,3966648,2020-06-11,Chase
607355645,17073876,5626269,2026-07-10,MasterCard
777076142,13338217,7334073,2023-02-06,Discover
681380550,16075062,5786045,2024-05-10,Chase
699914578,12184468,4821579,2020-03-08,Discover
795022739,19548246,6971746,2024-09-26,MasterCard
635594693,17827970,3079897,2025-06-29,Visa
686202231,11016887,3998352,2023-06-23,Chase
716627596,16496664,2145651,2026-07-27,American Express
742706572,11777589,7932525,2021-12-16,Discover
697672335,16515282,7913247,2028-09-12,Discover
632572178,11679048,4387345,2026-11-08,Discover
788862097,14463855,6393804,2030-08-02,MasterCard
725155413,17309868,5830336,2025-06-14,Discover
695598486,16598302,4308541,2028-09-13,Chase
669336087,18692460,3048040,2020-05-26,Visa
623315453,16497391,5589420,2024-08-02,Discover
708349628,11267924,4650482,2025-09-18,Discover
699646406,16526294,3280918,2027-10-18,MasterCard
731036679,14590366,6860379,2025-10-29,Visa
627653084,13476982,6823249,2022-09-21,Chase
765873983,19413291,2751361,2030-02-04,Visa
789669110,15252567,5077170,2029-04-18,Chase
696256169,11604265,2724976,2025-02-24,Visa
628676189,13219504,6798777,2029-04-24,Chase
769543028,16337617,2442722,2020-02-25,Visa
680503466,18767513,6338002,2030-11-24,Visa
611758739,15314090,7583113,2020-06-13,Visa
776200703,11633721,5984477,2025-12-17,American Express
660584020,10846042,6220193,2025-08-15,MasterCard
766030173,17362374,5679371,2027-06-08,Chase
713724966,16217393,5121067,2022-03-29,MasterCard
754530872,12020356,4399857,2026-05-13,Visa
701289712,13513165,5018190,2020-01-26,Chase
659272520,13658133,5654803,2023-12-05,MasterCard
784976029,19795414,4976647,2026-04-18,Chase
622125234,11291204,2134445,2027-05-16,Chase
791295283,17442536,5275636,2027-04-26,Discover
680206611,14547436,6428239,2029-04-30,Chase
614439546,14563491,7594974,2025-05-02,Chase
644570217,16537346,7351198,2024-11-01,Discover
615966356,10642142,6615878,2029-07-05,MasterCard
748523338,15383749,4623502,2028-10-21,American Express
769041774,16429836,3535245,2022-08-13,Visa
770437995,11319314,5801470,2028-10-17,Chase
736596293,18752014,4696293,2020-12-02,MasterCard
687451782,17121031,4300233,2027-07-15,American Express
680032077,17784986,3035309,2020-04-04,Visa
657030950,16168172,7586385,2026-06-22,MasterCard
746585636,13891915,6154861,2028-02-13,Discover
607846750,12740167,7713827,2025-12-24,American Express
613275883,14771046,4391766,2027-09-07,MasterCard
742828283,17733963,2550939,2026-07-27,MasterCard
661067800,16485201,2207943,2024-01-28,Discover
686590490,11222954,5806346,2025-05-23,Visa
712156305,16452586,3968194,2029-04-17,Discover
698712428,14414340,7802215,2022-03-08,Chase
671514586,11267776,3250700,2021-04-04,Visa
693106997,13815281,5316032,2021-12-27,MasterCard
724636422,17207904,3160056,2026-10-28,American Express
641093792,19366428,3924884,2020-03-02,Chase
689336978,18412394,7909878,2026-05-30,Chase
647696640,13690494,6266597,2020-11-16,Visa
660470701,19090456,3352492,2022-01-22,Chase
714297658,18052663,5287749,2027-01-28,American Express
706894754,14692463,6661766,2027-11-13,American Express
754006071,18539862,2633200,2023-12-19,Visa
633643437,15187442,3015144,2026-09-17,Discover
