institute_id,institute_name,institute_fee,institute_reputation,institute_campus_job_placement_pct,institute_campus_area,score_cut_off,total_no_of_students,applied_no_of_students,declined_no_of_student_pct,accepted_no_of_student_pct
DAND185,University of North Georgia (UNG),222961.03,3.6,95.74,164.25,93.66,1950,34723,94.38,5.62
TSNS701,Armstrong State University,159696.58,6.7,74.52,330.81,85.98,2499,39619,93.69,6.31
NNIA105,"University of California, Santa Cruz (UC Santa Cruz)",226058.47,2.7,72.82,182.99,88.69,2015,66231,96.96,3.04
AMRM277,Southern Connecticut State University (SCSU),204468.31,9.8,78.0,174.6,76.26,1009,36196,97.21,2.79
AAAD190,Florida A&M University (Florida A&M),157427.36,4.5,92.58,310.76,84.46,4300,48259,91.09,8.91
AANA497,Central Connecticut State University (CCSU),228766.42,4.5,81.36,302.37,77.86,1650,46027,96.42,3.58
DADN195,Western Kentucky University (WKU),215837.11,2.1,70.0,340.12,80.09,1808,15634,88.44,11.56
GTIT632,Georgia Institute of Technology (Georgia Tech),229891.01,8.8,84.76,217.04,89.65,2148,21927,90.20,9.80
ADII192,University of Massachusetts Medical School,203448.08,9.6,93.34,337.54,99.41,1357,14615,90.72,9.28
RAMR219,Abraham Baldwin Agricultural College,170655.2,4.0,74.25,277.01,98.85,3891,48338,91.95,8.05
ANNI108,"California State University, Fullerton (Fullerton, CSUF, Cal State Fullerton)",238635.12,3.9,83.13,326.13,76.01,1071,18965,94.35,5.65
TITI775,Massachusetts College of Liberal Arts,210315.46,7.3,82.81,306.55,76.49,3298,27145,87.85,12.15
IAAA158,College of Coastal Georgia,195311.16,4.4,65.36,165.37,93.34,2679,15046,82.19,17.81
NINT738,Georgia Institute of Technology (Georgia Tech),169750.95,3.0,90.79,211.81,95.75,4115,18705,78.00,22.00
NNII136,Abraham Baldwin Agricultural College,228700.95,7.7,99.53,211.92,96.19,2081,31881,93.47,6.53
MMAR300,Worcester State University,211405.86,3.2,64.01,193.71,97.32,2884,30289,90.48,9.52
DDNN190,Massachusetts College of Art and Design (MassArt),208051.87,5.1,86.43,227.34,89.07,4002,25659,84.40,15.60
TNIT724,Georgia Gwinnett College,166071.74,9.2,82.35,338.45,97.53,2235,19796,88.71,11.29
NIIN165,Southern Connecticut State University (SCSU),170893.83,4.2,98.78,208.77,80.93,3320,14435,77.00,23.00
NNNS713,Florida A&M University (Florida A&M),211515.0,8.2,51.55,269.86,93.08,3174,11942,73.42,26.58
ADAI107,"University of California, Merced (UC Merced)",174155.83,6.5,93.25,225.27,91.36,4648,35748,87.00,13.00
RRMA290,Salem State University,153069.71,4.9,96.79,223.79,87.18,4691,63897,92.66,7.34
NNNI102,Fort Valley State University,233193.0,1.4,69.13,295.87,94.23,1487,22727,93.46,6.54
TNIS785,Western Kentucky University (WKU),189509.57,7.4,90.44,168.41,81.23,2001,11543,82.66,17.34
AADI112,University of Georgia (UGA),234393.32,2.5,85.64,280.35,79.96,1181,31617,96.26,3.74
APJJ493,Florida International University (FIU),178655.37,8.4,59.7,218.64,94.89,2503,25859,90.32,9.68
DDIA112,Georgia College and State University,212709.5,1.2,91.42,195.43,76.79,1616,59432,97.28,2.72
REME262,"California State University, Bakersfield (CSUB)",164195.39,7.8,98.89,345.12,88.54,4342,48096,90.97,9.03
NIND101,Clayton State University,204406.91,3.7,74.27,321.58,97.96,3995,43421,90.80,9.20
SSIT764,"University of California, Santa Barbara (UC Santa Barbara)",249157.47,3.7,58.41,181.0,75.02,2888,30197,90.44,9.56
NNAI119,Northern Kentucky University (NKU),204225.34,2.0,67.34,307.46,76.09,1507,44938,96.65,3.35
NSNI730,University of Florida (UF),244936.99,8.5,87.55,270.95,93.96,2074,31642,93.45,6.55
INDI168,"University of California, San Francisco (UCSF)",152710.91,2.6,92.88,157.75,78.42,1445,49634,97.09,2.91
AMMA201,"California State University, Bakersfield (CSUB)",150184.12,6.7,75.84,301.08,97.81,3423,19456,82.41,17.59
DAAD124,Georgia Southern University,181490.08,9.4,73.02,250.59,96.71,4312,38748,88.87,11.13
PAJJ433,Augusta University,249753.01,7.1,71.74,294.43,83.01,4155,70830,94.13,5.87
ANDN151,Georgia Gwinnett College,225249.33,2.4,58.39,275.25,92.88,3294,17152,80.80,19.20
NITS733,East Georgia State College,226174.12,1.9,95.7,171.5,87.58,1959,48710,95.98,4.02
ADDA149,College of Coastal Georgia,179198.6,1.4,70.34,195.66,87.5,3412,15871,78.50,21.50
MARA263,East Georgia State College,164697.37,1.2,69.46,349.64,75.88,2109,39933,94.72,5.28
DIND140,Framingham State University,175595.62,9.7,97.6,190.08,97.12,2689,54368,95.05,4.95
NSSS793,Clayton State University,195329.44,7.7,62.39,312.95,81.7,2081,66605,96.88,3.12
NDAD189,Armstrong State University,192146.97,1.8,61.14,216.89,98.66,4692,52728,91.10,8.90
STNN774,Bainbridge State College,249542.09,2.1,75.28,287.44,98.24,3288,41590,92.09,7.91
IAAI194,Central Connecticut State University (CCSU),196691.05,9.5,76.31,161.1,82.83,4385,58649,92.52,7.48
RRRR203,Georgia Institute of Technology (Georgia Tech),192086.42,9.2,55.7,347.02,97.15,1297,34046,96.19,3.81
NDNA112,Armstrong State University,219868.56,7.7,73.51,325.06,96.04,3990,55446,92.80,7.20
SNTN786,Florida International University (FIU),163197.96,2.9,61.14,297.21,84.04,3954,24054,83.56,16.44
AAAD170,"University of California, Berkeley (UC Berkeley)",205574.27,3.0,85.01,222.62,80.38,2560,17477,85.35,14.65
ITIG627,Southern Connecticut State University (SCSU),237616.16,8.2,67.98,195.21,95.9,2196,31549,93.04,6.96
NIAA172,University of West Florida (UWF),242555.98,8.7,61.26,215.37,96.09,2995,61811,95.15,4.85
AAAE222,New College of Florida,192898.01,4.2,50.63,338.57,81.49,4612,27359,83.14,16.86
NAND179,Albany State University,176277.76,8.1,96.85,252.18,84.78,3115,30045,89.63,10.37
ISSS794,"University of California, Santa Cruz (UC Santa Cruz)",241657.67,8.3,78.47,290.41,97.23,4062,17549,76.85,23.15
INNI131,"University of California, Los Angeles (UCLA)",186666.19,4.2,75.35,280.43,78.31,1569,40720,96.15,3.85
APJN402,Florida Atlantic University (FAU),195495.38,9.1,53.71,264.36,76.87,4637,69699,93.35,6.65
NDDD152,Gordon State College,159282.56,3.6,66.26,297.71,76.75,2556,18899,86.48,13.52
AMRM227,Bainbridge State College,203908.02,9.3,75.85,227.86,75.61,1037,52251,98.02,1.98
NNDA117,"California State University, East Bay (CSUEB)",227445.82,1.4,55.68,220.41,78.44,4506,69125,93.48,6.52
TNSI715,University of Georgia (UGA),217988.57,6.6,60.39,181.51,84.63,2962,46021,93.56,6.44
IDIA128,Florida Gulf Coast University (FGCU),213298.72,9.7,90.02,235.81,92.79,1363,23864,94.29,5.71
SSTT722,Eastern Connecticut State University (ECSU),179136.47,4.1,88.02,276.37,82.9,4289,48985,91.24,8.76
DDND187,Worcester State University,219951.11,7.4,73.01,337.52,86.23,3373,60968,94.47,5.53
AAAM241,East Georgia State College,171325.26,4.5,92.68,237.46,78.92,1176,20929,94.38,5.62
DAAN173,University of Georgia (UGA),203939.96,4.3,85.1,324.21,80.75,2775,38670,92.82,7.18
PANA478,"California State University, Bakersfield (CSUB)",240510.99,6.7,98.05,348.71,98.09,3776,15799,76.10,23.90
NIDA178,Georgia State University (GSU),213709.15,6.9,69.82,210.25,94.48,2478,30475,91.87,8.13
TTNN780,Framingham State University,206526.9,4.4,67.67,324.72,79.63,3556,62110,94.27,5.73
DDIN196,"University of California, Berkeley (UC Berkeley)",162891.25,5.7,74.76,162.85,77.95,2670,51980,94.86,5.14
RMEM206,"California State University, Fullerton (Fullerton, CSUF, Cal State Fullerton)",159510.96,3.1,63.21,186.18,75.98,1894,44014,95.70,4.30
NAIA144,University of Massachusetts Medical School,219828.85,6.1,61.81,341.5,78.65,4304,18180,76.33,23.67
INIS746,University of Massachusetts Dartmouth (UMass Dartmouth),243689.65,1.2,96.55,299.87,90.93,3573,51771,93.10,6.90
ANIA185,Massachusetts College of Liberal Arts,211185.38,9.6,88.59,158.57,77.71,1126,55791,97.98,2.02
IINT727,Morehead State University,180118.96,3.2,67.35,198.23,85.86,1994,46097,95.67,4.33
IDNI134,Framingham State University,238809.98,7.3,53.03,235.63,95.67,4413,54827,91.95,8.05
EEAR209,Bridgewater State University,164471.23,2.0,91.15,324.11,96.29,4166,49806,91.64,8.36
AAIN143,Salem State University,160414.78,3.8,65.16,154.31,86.81,4568,26472,82.74,17.26
IIII633,Georgia State University (GSU),239202.23,9.3,56.14,288.18,98.38,4616,29742,84.48,15.52
DIID189,Western Connecticut State University (WCSU),247589.2,3.6,84.86,330.98,93.47,2040,73217,97.21,2.79
TIII734,University of West Florida (UWF),192735.32,2.2,97.59,256.36,80.91,4747,43381,89.06,10.94
DDDA179,University of Massachusetts Medical School,194556.61,8.9,81.46,221.02,75.42,2303,10829,78.73,21.27
EEER215,Georgia Southern University,164924.66,5.2,59.6,169.77,95.01,4646,68011,93.17,6.83
ADND114,"University of California, Merced (UC Merced)",214259.78,4.9,57.82,319.18,75.58,3287,25006,86.86,13.14
NISN768,Bridgewater State University,223418.86,5.6,51.77,260.15,90.2,1853,48368,96.17,3.83
DINI148,University of Massachusetts Boston (UMass Boston),232064.0,8.9,64.25,320.75,91.63,1169,26640,95.61,4.39
JANA477,"California State University, Bakersfield (CSUB)",244650.8,9.5,55.97,239.52,99.86,1438,22396,93.58,6.42
IANA192,Southern Connecticut State University (SCSU),194660.3,6.4,84.8,210.21,88.12,3845,60885,93.68,6.32
ARMM262,Georgia Institute of Technology (Georgia Tech),160858.08,9.5,57.23,256.58,97.45,4059,58298,93.04,6.96
AINA136,"California State University, Fullerton (Fullerton, CSUF, Cal State Fullerton)",242750.35,9.2,89.39,221.61,81.79,4478,42030,89.35,10.65
NNIT717,"University of Louisville (Louisville, U of L, or UL)",168076.08,4.9,79.03,297.46,93.46,2297,25019,90.82,9.18
NNDN188,Massachusetts Maritime Academy,220936.31,9.3,97.43,318.96,82.15,4373,38434,88.62,11.38
GGIT653,Massachusetts Maritime Academy,220912.53,3.4,92.15,175.17,95.08,4628,44422,89.58,10.42
IAAD144,"California State University, Bakersfield (CSUB)",163050.52,9.0,74.64,156.65,88.31,4357,35595,87.76,12.24
RMAM233,University of Central Florida (UCF),171372.81,6.8,74.94,175.69,99.49,1851,43759,95.77,4.23
INIA114,University of South Florida (USF),203459.5,7.3,80.32,157.61,94.93,1814,51843,96.50,3.50
JJAP410,University of Massachusetts Amherst (UMass Amherst),229115.05,2.6,63.14,259.64,75.0,1411,29850,95.27,4.73
INIA111,Westfield State University,160821.51,6.1,60.21,313.21,83.07,4344,20388,78.69,21.31
NSIN732,University of West Florida (UWF),235601.22,3.1,90.56,173.32,75.65,1329,56964,97.67,2.33
NDID138,Fort Valley State University,205644.3,9.9,91.23,347.74,85.17,4177,47336,91.18,8.82
MRRM216,"California State University, Fullerton (Fullerton, CSUF, Cal State Fullerton)",156273.2,3.1,95.5,189.91,90.46,3171,18625,82.97,17.03
NDID186,"California State University, Fresno (Fresno State)",215210.54,2.3,93.48,336.3,81.09,2620,31399,91.66,8.34
SNIT708,Westfield State University,231059.99,1.6,92.74,349.25,98.74,4290,49733,91.37,8.63
DNNI191,Bainbridge State College,153458.95,5.0,71.0,347.12,83.07,1492,47921,96.89,3.11
