order_id,order_date,customer_id,total_order_amount,order_discount_pct,final_order_amount,customer_name,customer_country,customer_city,customer_state,customer_credit_rating,customer_premium_flag
ORD#91000000,2023-03-28 23:43:21.477253,110000,3481.22,10,3133.098,40901,Swaziland,El Reno,Florida,630.95,False
ORD#91000001,2024-10-17 13:10:21.477308,183496,4198.33,15,3568.5805,136338,Qatar,Hudson,Florida,227.74,True
ORD#91000003,2024-12-08 10:21:21.477326,212358,493.03,0,493.03,192908,Italy,Goodyear,Nevada,665.57,False
ORD#91000006,2020-12-24 00:37:21.477340,151089,1224.35,0,1224.35,55936,Malta,Leominster,Vermont,354.58,False
ORD#91000010,2021-01-28 20:15:21.477352,110205,1902.5,0,1902.5,6963,Caribbean Netherlands,Paso Robles,Massachusetts,714.89,False
ORD#91000015,2016-12-24 09:03:21.477364,72991,3310.34,10,2979.306,151482,Bulgaria,Weslaco,Oregon,203.03,True
ORD#91000021,2018-01-12 00:04:21.477375,177575,4097.96,15,3483.266,27969,Thailand,Beaumont,Connecticut,620.21,False
ORD#91000028,2021-07-02 13:58:21.477386,148666,2194.79,0,2194.79,195996,Morocco,Brawley,Illinois,105.8,False
ORD#91000036,2023-10-10 16:59:21.477396,196489,290.55,0,290.55,78500,Fiji,Brownsburg,Connecticut,809.43,False
ORD#91000045,2015-05-21 19:33:21.477407,10186,526.72,0,526.72,217800,Jamaica,St. Louis Park,West Virginia,239.76,True
ORD#91000055,2016-01-28 11:09:21.477418,105085,1391.62,0,1391.62,116549,Burundi,Santa Monica,Rhode Island,345.38,True
ORD#91000066,2022-05-18 05:44:21.477429,201944,338.1,0,338.1,69931,Jamaica,Cabot,Arizona,315.72,True
ORD#91000078,2015-03-29 22:54:21.477453,28735,304.16,0,304.16,55447,Dominican Republic,University Park,Arkansas,310.26,True
ORD#91000091,2021-10-18 13:14:21.477463,67319,2904.24,0,2904.24,129886,Cyprus,Pleasant Prairie,West Virginia,218.41,False
ORD#91000105,2022-08-22 04:26:21.477474,76714,1208.47,0,1208.47,207744,Andorra,Steubenville,Kansas,513.05,True
ORD#91000120,2017-08-06 09:32:21.477484,15754,996.13,0,996.13,173259,Czech Republic,Carlisle,Mississippi,275.32,True
ORD#91000136,2024-04-08 08:36:21.477494,7843,2571.01,0,2571.01,26942,Réunion,Chapel Hill,Kansas,210.2,False
ORD#91000153,2019-10-21 19:16:21.477506,76194,1546.45,0,1546.45,196335,Botswana,Tyler,Wyoming,322.94,False
ORD#91000171,2015-08-16 02:21:21.477516,182222,500.0,0,500.0,54470,Chad,Gahanna,California,199.55,True
ORD#91000190,2016-03-21 05:16:21.477530,102758,375.92,0,375.92,44533,Vanuatu,Salisbury,Missouri,102.75,False
ORD#91000210,2018-02-25 01:20:21.477543,57787,3504.18,10,3153.762,205806,United Arab Emirates,Madera,Oregon,303.95,True
ORD#91000231,2017-06-29 07:36:21.477554,42212,2890.66,0,2890.66,213338,Denmark,Lynn,Michigan,781.24,True
ORD#91000253,2021-01-13 02:40:21.477566,151805,4212.18,15,3580.353,80182,Indonesia,Mercer Island,Florida,836.92,False
ORD#91000276,2020-10-27 15:54:21.477577,81227,1351.42,0,1351.42,173474,Sri Lanka,Petersburg,Minnesota,952.05,False
ORD#91000300,2021-03-14 13:44:21.477588,193259,1691.47,0,1691.47,114846,Mongolia,Palm Springs,New Hampshire,932.65,True
ORD#91000325,2024-10-10 01:44:21.477599,125349,4092.79,15,3478.8715,70514,Turkey,Mason City,Vermont,104.58,False
ORD#91000351,2018-10-15 13:13:21.477610,206357,3264.16,20,2611.328,164920,St. Pierre & Miquelon,Harker Heights,Wisconsin,896.19,True
ORD#91000378,2020-04-29 05:09:21.477620,9055,578.15,0,578.15,177761,Burundi,Brownsburg,Kentucky,546.03,False
ORD#91000406,2016-02-10 09:24:21.477631,47390,720.8,0,720.8,158154,Congo - Kinshasa,Barnstable Town,Michigan,401.32,False
ORD#91000435,2021-07-30 06:50:21.477641,100412,269.61,0,269.61,151177,Turkey,Converse,Idaho,818.33,False
ORD#91000465,2024-04-08 11:21:21.477652,130468,4104.79,25,3078.5925,203880,Kosovo,Geneva,Florida,992.43,True
ORD#91000496,2021-09-20 11:48:21.477662,114644,4325.61,15,3676.7685,141354,Jersey,McAlester,Iowa,358.55,False
ORD#91000528,2020-05-29 11:26:21.477672,56502,3232.32,10,2909.088,29637,Anguilla,Clarksdale,Kentucky,632.9,False
ORD#91000561,2018-01-27 17:32:21.477684,127402,1404.19,0,1404.19,121848,Cayman Islands,Coachella,Oklahoma,549.42,False
ORD#91000595,2021-06-27 21:07:21.477694,190160,812.81,0,812.81,157955,Brunei,Manchester,Alaska,336.89,False
ORD#91000630,2019-12-20 18:56:21.477705,148445,2573.7,0,2573.7,48973,Vietnam,Oakley,South Carolina,708.77,True
ORD#91000666,2016-02-26 07:30:21.477715,19362,1662.11,0,1662.11,162887,Belize,Long Branch,New Jersey,210.38,False
ORD#91000703,2018-08-06 05:25:21.477726,151672,1757.42,0,1757.42,157418,Canary Islands,Menlo Park,South Carolina,801.15,False
ORD#91000741,2024-12-02 22:18:21.477736,160636,1380.8,0,1380.8,129015,Bosnia & Herzegovina,Tulsa,Maryland,419.18,True
ORD#91000780,2024-12-19 12:57:21.477746,30664,1030.03,0,1030.03,88776,Georgia,Hawthorne,Delaware,911.34,True
ORD#91000820,2021-03-03 17:07:21.477756,97984,496.02,0,496.02,216581,Brunei,Cocoa,Kentucky,804.75,False
ORD#91000861,2015-12-29 20:30:21.477771,141575,4341.33,15,3690.1305,95962,Kazakhstan,Ankeny,Ohio,649.79,False
ORD#91000903,2017-11-12 01:14:21.477783,180099,3434.08,10,3090.672,112169,Israel,West Linn,Idaho,513.79,True
ORD#91000946,2021-08-10 02:45:21.477794,216165,2808.88,12,2471.8144,67498,Laos,Fall River,Tennessee,901.4,True
ORD#91000990,2023-01-16 00:11:21.477804,54650,2283.03,0,2283.03,70720,Tonga,Huntsville,Oregon,381.27,False
ORD#91001035,2024-02-03 04:19:21.477815,32228,4544.11,25,3408.0824999999995,178945,Madagascar,Monterey Park,Hawaii,954.86,False
ORD#91001081,2021-02-10 10:48:21.477825,199386,1250.09,0,1250.09,69003,Martinique,Webster Groves,Louisiana,730.98,False
ORD#91001128,2024-07-25 04:19:21.477845,8139,1419.19,0,1419.19,13296,France,Kentwood,Alaska,943.39,True
ORD#91001176,2017-01-17 19:03:21.477856,98672,1216.19,0,1216.19,128421,Guadeloupe,Vero Beach,Tennessee,766.6,False
ORD#91001225,2016-08-04 05:15:21.477867,152066,4005.27,15,3404.4795,5996,Croatia,Brook Park,Nevada,768.28,True
ORD#91001275,2021-03-20 04:35:21.477877,200396,3672.32,20,2937.856,133815,Cook Islands,Bourbonnais,Indiana,876.73,True
ORD#91001326,2019-10-15 10:56:21.477888,119188,2288.92,12,2014.2496,126908,Guatemala,Sapulpa,Maine,899.24,True
ORD#91001378,2015-08-03 12:14:21.477898,6374,4290.75,15,3647.1375,22774,Gambia,Alvin,Massachusetts,466.89,False
ORD#91001431,2016-07-21 16:13:21.477910,159496,4513.88,15,3836.798,150992,Macedonia,Dania Beach,Virginia,160.35,True
ORD#91001485,2017-07-27 21:31:21.477921,94389,2746.71,0,2746.71,157840,Liechtenstein,Greenville,Massachusetts,618.02,False
ORD#91001540,2018-05-05 09:15:21.477931,127331,2239.83,0,2239.83,211785,Slovakia,Roanoke Rapids,Colorado,237.58,False
ORD#91001596,2018-05-16 02:28:21.477941,27078,2847.43,12,2505.7384,159997,Dominican Republic,Wilmette,Mississippi,810.53,False
ORD#91001653,2015-04-28 20:45:21.477952,119728,4931.75,15,4191.9875,198148,Kenya,Lumberton,Iowa,752.1,False
ORD#91001711,2021-06-22 09:06:21.477962,175470,4364.67,15,3709.9695,154583,Laos,Romulus,Indiana,135.15,False
ORD#91001770,2017-11-14 09:48:21.477972,124397,2760.05,0,2760.05,11200,Japan,Lino Lakes,New Hampshire,126.52,True
ORD#91001830,2024-04-19 05:46:21.477983,174070,1191.99,0,1191.99,173251,Iraq,Madison Heights,Louisiana,537.62,False
ORD#91001891,2020-01-06 23:20:21.477993,118241,3063.53,10,2757.177,9828,Poland,Fishers,Montana,826.45,True
ORD#91001953,2015-10-28 23:13:21.478003,194379,3337.53,10,3003.777,43466,Cocos,Jacksonville Beach,Wyoming,320.08,True
ORD#91002016,2021-06-11 07:20:21.478014,74036,1473.34,0,1473.34,197155,Moldova,Madera,Alabama,295.31,True
ORD#91002080,2023-02-09 14:20:21.478024,178218,809.38,0,809.38,168150,Albania,North Augusta,New Jersey,476.53,True
ORD#91002145,2023-01-10 09:34:21.478044,190195,4354.46,15,3701.291,41739,Egypt,Westland,Oklahoma,512.03,False
ORD#91002211,2020-09-25 15:16:21.478055,30291,1571.04,0,1571.04,207121,U.S. Outlying Islands,San Dimas,Arkansas,389.94,False
ORD#91002278,2019-07-11 05:53:21.478065,170155,1122.7,0,1122.7,25133,Isle of Man,Shoreline,Washington,430.69,True
ORD#91002346,2016-11-10 17:36:21.478076,104987,280.89,0,280.89,71184,Armenia,Evergreen Park,New York,451.38,True
ORD#91002415,2023-01-23 09:24:21.478086,187386,4458.06,15,3789.351000000001,56717,Saudi Arabia,Marquette,South Dakota,885.95,True
ORD#91002485,2020-01-10 18:02:21.478096,57004,1854.49,0,1854.49,29445,Gambia,West Springfield,Pennsylvania,310.9,True
ORD#91002556,2022-11-13 15:01:21.478106,42388,2561.04,0,2561.04,43514,Nauru,Longmont,Rhode Island,756.08,False
ORD#91002628,2021-07-27 04:29:21.478116,185879,4647.94,15,3950.749,174805,St. Kitts & Nevis,West Palm Beach,New York,388.24,False
ORD#91002701,2017-10-15 10:28:21.478126,117111,3650.34,10,3285.306,105657,Ascension Island,Lacey,Arkansas,742.75,False
ORD#91002775,2018-09-18 15:09:21.478136,208719,4144.63,15,3522.9355,30032,Bahrain,Raytown,Wyoming,161.9,False
ORD#91002850,2021-05-16 04:09:21.478146,188314,3172.45,10,2855.205,219088,French Guiana,St. Cloud,Connecticut,306.55,True
ORD#91002926,2023-08-31 01:48:21.478157,12313,3484.01,10,3135.6090000000004,40526,Ethiopia,Dubuque,Nebraska,457.45,False
ORD#91003003,2017-01-31 14:27:21.478174,162133,4352.16,15,3699.336,155319,Czech Republic,Watauga,Idaho,480.38,True
ORD#91003081,2017-04-17 09:14:21.478184,217825,3385.45,10,3046.905,66391,Burkina Faso,Oak Lawn,Delaware,266.67,True
ORD#91003160,2015-05-05 13:29:21.478194,153545,2111.65,12,1858.252,201001,Kosovo,Highland Village,Georgia,946.73,True
ORD#91003240,2019-04-07 07:01:21.478205,50344,4538.77,15,3857.9545,54896,Russia,Deerfield,Texas,792.51,True
ORD#91003321,2016-07-11 10:54:21.478215,173328,3674.92,20,2939.936,39116,Jordan,Round Rock,Tennessee,903.07,True
