order_id,shipment_date,invoice_number,shipment_from_city,shipment_to_city,invoice_amount
ORD#131000000,2023-05-09 10:45:33.762036,WKTL0960-222,Anacortes,Donna,2848.9950000000003
ORD#131000001,2018-12-14 10:20:33.762087,KCNA7142-064,Springboro,Hopkins,2391.312
ORD#131000003,2024-07-06 12:04:33.762106,YFMZ0589-888,Plattsburgh,Warwick,1065.23
ORD#131000006,2022-02-08 15:13:33.762119,IEHO3396-266,Solon,Irving,3080.7450000000003
ORD#131000010,2022-11-16 02:26:33.762131,BUBT8623-474,Temple Terrace,Sidney,1083.82
ORD#131000015,2016-11-30 13:20:33.762143,LZGG7810-701,Round Rock,Pontiac,3400.595
ORD#131000021,2021-03-19 10:02:33.762155,MYMW5437-760,Kingsport,Gainesville,3483.9750000000004
ORD#131000028,2020-11-20 14:46:33.762175,IEHB8866-317,Herndon,Forest Park,2974.626
ORD#131000036,2021-07-24 15:54:33.762186,INLI3853-308,Carlsbad,Brandon,3296.943
ORD#131000045,2021-02-10 15:12:33.762197,DGDE4096-521,Johnstown,Chambersburg,2848.356
ORD#131000055,2016-03-19 07:07:33.762207,EAKC6145-287,McAlester,Kennewick,3459.143
ORD#131000066,2020-12-12 10:12:33.762218,MGGY9316-505,West Jordan,Germantown,2171.09
ORD#131000078,2022-06-15 00:31:33.762228,TIOT6006-594,Fountain Valley,Jacksonville Beach,3389.3625
ORD#131000091,2016-01-15 05:42:33.762240,RUOA5849-415,Bristol,Annapolis,1460.39
ORD#131000105,2022-06-04 10:19:33.762253,UFLM5645-074,Temple,Paris,2896.893
ORD#131000120,2017-08-27 02:10:33.762263,MPQV6069-680,Joplin,New Lenox,3370.9950000000003
ORD#131000136,2024-11-24 17:49:33.762274,QKEL7513-207,Duarte,Oro Valley,1605.78
ORD#131000153,2023-07-31 11:41:33.762286,IFOQ9123-399,South Euclid,Cocoa,3882.5705
ORD#131000171,2024-03-06 14:06:33.762297,FCFK8009-068,Lisle,Searcy,2442.4
ORD#131000190,2018-02-24 19:30:33.762307,LHVO9211-670,Hillsboro,DeSoto,4126.5545
ORD#131000210,2017-02-14 03:56:33.762318,YFPH8042-563,Utica,Washington,2165.73
ORD#131000231,2024-12-18 03:00:33.762328,DOXO7876-835,New Braunfels,San Juan Capistrano,1507.53
ORD#131000253,2018-08-31 18:28:33.762340,RDHP7131-835,New Smyrna Beach,Lacey,1626.11
ORD#131000276,2023-12-01 14:34:33.762351,YTWZ5099-480,Tallahassee,Redding,2547.72
ORD#131000300,2016-08-29 22:09:33.762361,MXYJ2214-104,Sapulpa,Hazleton,3423.798
ORD#131000325,2020-04-25 05:32:33.762373,MKFX2723-008,Vero Beach,Muskogee,577.96
ORD#131000351,2015-04-18 15:26:33.762383,VIJI8480-197,Russellville,Dixon,3301.425
ORD#131000378,2020-07-19 06:46:33.762394,CDRD6980-993,North Little Rock,Walker,2285.75
ORD#131000406,2018-04-20 02:50:33.762404,JIFB8660-483,Lakewood,Round Lake Beach,2882.529
ORD#131000435,2018-12-07 03:00:33.762415,ZXVN9839-943,Westland,Agoura Hills,3025.161
ORD#131000465,2015-08-01 11:48:33.762425,OSGA5923-343,Honolulu,Salinas,2962.692
ORD#131000496,2016-12-09 11:26:33.762435,OSYT4356-255,North Las Vegas,San Marcos,1484.16
ORD#131000528,2015-09-19 04:00:33.762445,WSQZ9980-473,Allen Park,Nicholasville,1468.66
ORD#131000561,2015-08-20 14:08:33.762456,YFKT9263-448,Weirton,Wichita,4082.3715
ORD#131000595,2015-07-28 19:36:33.762467,YUYI2880-920,Kalamazoo,North Augusta,254.18
ORD#131000630,2019-02-08 06:00:33.762476,ZXYR5659-359,Laramie,Saco,3259.125
ORD#131000666,2020-06-15 04:04:33.762486,IHPW3999-509,Hammond,Mint Hill,2969.79
ORD#131000703,2016-03-12 05:19:33.762497,ZCJJ2481-186,San Luis,Euclid,966.59
ORD#131000741,2018-08-06 07:39:33.762507,HHQJ4520-031,Bowie,Nicholasville,1719.32
ORD#131000780,2015-05-22 09:11:33.762517,LKOZ7655-289,Howard,Streamwood,769.33
ORD#131000820,2017-10-05 11:27:33.762527,PIKV7956-084,West Memphis,Carrboro,732.88
ORD#131000861,2022-12-31 16:11:33.762539,YFFB6329-207,Tacoma,Macon,3466.1895
ORD#131000903,2017-03-01 06:27:33.762549,KHFZ6297-177,Birmingham,Sunnyvale,3838.872
ORD#131000946,2016-05-26 21:04:33.762560,HGDQ2965-746,Mustang,Medina,2789.0
ORD#131000990,2017-09-04 13:15:33.762570,XGQF9505-146,Forest Grove,Massapequa Park,3029.805
ORD#131001035,2022-09-14 05:32:33.762579,SVFU8533-143,Andover,Collinsville,2812.73
ORD#131001081,2018-09-12 03:18:33.762589,GGSD0435-555,Kokomo,Jonesboro,3424.968
ORD#131001128,2022-03-29 04:32:33.762599,MMAR6851-303,San Mateo,New London,678.61
ORD#131001176,2018-11-15 22:38:33.762609,AMSK3063-371,Yonkers,St. Louis Park,1972.11
ORD#131001225,2019-06-15 17:08:33.762619,VWQT3847-332,Chico,Cleveland Heights,427.52
ORD#131001275,2021-05-15 16:27:33.762629,AREN5096-136,Washington,McAlester,2923.5
ORD#131001326,2020-06-20 15:19:33.762639,CNVU2501-673,Findlay,Melbourne,950.48
ORD#131001378,2018-05-16 12:30:33.762649,CBQZ2274-168,Midland,Herndon,1837.95
ORD#131001431,2017-07-14 08:20:33.762661,XAAM4323-985,Lima,Owatonna,2157.0
ORD#131001485,2016-07-05 12:40:33.762671,AQHL1664-810,Kalamazoo,Santa Cruz,916.03
ORD#131001540,2021-12-15 22:39:33.762681,ICHX9778-147,Columbia Heights,Fairview Heights,2918.466
ORD#131001596,2020-01-11 04:51:33.762692,CCZT2222-212,Naples,Forest Grove,3703.0675
ORD#131001653,2018-03-11 04:52:33.762702,GOPP6016-312,Newark,Vernon Hills,923.54
ORD#131001711,2019-10-14 02:53:33.762712,FZIR3759-648,Strongsville,Lakeville,2291.52
ORD#131001770,2019-03-19 08:39:33.762722,VSHA5050-449,Grove City,Slidell,3557.052
ORD#131001830,2017-02-08 10:26:33.762732,LWKS5008-521,Lino Lakes,Los Altos,2789.6310000000003
ORD#131001891,2023-05-04 17:09:33.762742,ADCB2489-342,Fort Smith,Central Point,317.19
ORD#131001953,2016-05-15 04:12:33.762753,UHBJ6761-600,Cedar Hill,Cathedral City,356.77
ORD#131002016,2024-05-25 08:36:33.762764,QVVG6065-626,Seal Beach,Midwest City,2584.46
ORD#131002080,2018-10-31 07:27:33.762775,GIGA6731-945,Sayreville,Birmingham,751.74
ORD#131002145,2019-08-24 01:16:33.762790,XKUO2506-747,Fremont,Hempstead,657.59
ORD#131002211,2023-09-29 16:56:33.762801,BCSI4426-158,Carbondale,Elkhart,282.48
ORD#131002278,2018-05-25 05:32:33.762812,ABOL1263-123,Kokomo,Vineland,3718.478
ORD#131002346,2022-04-05 12:35:33.762823,XESO7491-407,Savannah,Angleton,860.78
ORD#131002415,2022-06-15 17:10:33.762834,FATP9096-826,Long Branch,North Plainfield,1011.21
ORD#131002485,2018-10-21 04:19:33.762845,AIJT4203-689,Imperial Beach,Galesburg,2402.576
ORD#131002556,2022-10-24 02:17:33.762856,PLBA3675-436,Hoover,Compton,1583.72
ORD#131002628,2022-05-10 23:02:33.762867,PIFE3083-195,Inglewood,Noblesville,440.21
ORD#131002701,2020-06-09 11:42:33.762878,GVOB1457-150,Toledo,Buckeye,2619.9008
ORD#131002775,2024-07-16 14:23:33.762889,WRFR6607-974,Flower Mound,Godfrey,3727.4795
ORD#131002850,2022-03-02 16:27:33.762900,THNV9154-669,Janesville,Thornton,2999.07
ORD#131002926,2016-10-07 17:05:33.762913,OXPX0802-173,Solon,Mishawaka,3084.093
ORD#131003003,2022-12-18 22:56:33.762930,PNES1979-362,Hot Springs,Valdosta,3230.136
ORD#131003081,2015-12-11 23:41:33.762942,KUCU5690-994,Pittsburgh,Alpharetta,3318.282
ORD#131003160,2021-03-08 10:14:33.762953,LHHJ5062-167,Tacoma,Massapequa Park,2912.29
ORD#131003240,2023-01-16 06:19:33.762964,OQVS9205-243,Winter Springs,Point Pleasant,2850.021
ORD#131003321,2015-10-11 19:34:33.762976,ETSP1100-280,Moscow,Hemet,1125.49
ORD#131003403,2016-11-03 10:07:33.762987,SIXT3454-905,Prattville,Rochester,3362.904
ORD#131003486,2020-03-15 01:59:33.762998,MNOV1850-328,Cudahy,Mount Clemens,3240.423
ORD#131003570,2022-03-06 23:45:33.763009,RSUQ4709-318,Escondido,Bethel Park,3018.24
ORD#131003655,2018-04-15 04:42:33.763020,NHGF9482-163,Port Hueneme,Montebello,3679.9985
ORD#131003741,2015-11-24 01:14:33.763034,UJUM1958-092,Tallmadge,Roseville,2122.0144
ORD#131003828,2019-04-06 06:34:33.763044,RRWA8694-459,Ponca City,Columbia,2285.7736
ORD#131003916,2019-03-19 13:05:33.763055,MPDM4511-024,Wisconsin Rapids,Azusa,3088.008
ORD#131004005,2023-08-26 09:54:33.763067,BXXP7685-389,Draper,Warrensburg,3668.1155
ORD#131004095,2019-10-29 10:41:33.763078,EFWR9591-270,Morgan Hill,Glen Ellyn,3994.5495
ORD#131004186,2019-07-30 03:49:33.763089,UYGN9353-951,Hialeah,Missouri City,3441.089
ORD#131004278,2016-12-06 04:42:33.763100,MHFV6727-115,Owensboro,Hagerstown,3865.3835
ORD#131004371,2015-07-18 18:17:33.763115,UTJU0244-697,Arlington Heights,Tuscaloosa,3573.522
ORD#131004465,2024-05-09 10:34:33.763126,QGYF1160-829,Brook Park,Boynton Beach,774.33
ORD#131004560,2022-04-20 02:16:33.763137,OCJR1341-693,Anniston,Palm Springs,1449.78
ORD#131004656,2023-12-16 07:18:33.763147,ODJY7837-532,Grand Junction,Farmington Hills,1516.89
ORD#131004753,2018-10-05 18:28:33.763157,PGFB3862-232,San Antonio,Winter Garden,363.99
ORD#131004851,2021-10-31 14:52:33.763167,PKWY7633-781,Porterville,Westmont,2934.2340000000004
ORD#131004950,2021-11-09 10:42:33.763177,GVAC9628-539,Battle Creek,West Lafayette,1142.04
ORD#131005050,2023-05-31 00:10:33.763187,KWVR3317-081,Fort Collins,Corcoran,598.16
ORD#131005151,2017-12-06 14:11:33.763197,OSUU0489-569,Lawndale,Cartersville,1428.98
ORD#131005253,2021-11-12 23:39:33.763207,YNSK3766-814,Lockport,Euclid,3619.9275
ORD#131005356,2017-02-27 18:06:33.763217,ZZZR4395-688,Carson City,Providence,1764.58
ORD#131005460,2015-10-07 04:44:33.763227,ZDXO8661-372,St. Clair Shores,Statesboro,2945.871
ORD#131005565,2021-05-05 10:05:33.763237,RFHS7387-295,Acworth,Buena Park,1174.95
ORD#131005671,2020-01-12 18:44:33.763247,VBAN4656-614,Atwater,Union City,363.6
ORD#131005778,2019-09-27 01:22:33.763257,BMOC3622-360,Morgantown,Wichita,2796.678
ORD#131005886,2017-10-31 19:36:33.763267,WFVQ5714-529,Duncan,El Cajon,912.61
ORD#131005995,2015-06-07 02:39:33.763286,PZVR7939-455,Bend,Oakdale,3656.2155
ORD#131006105,2019-09-08 05:17:33.763296,CVIY3520-972,Oviedo,San Bruno,2368.18
ORD#131006216,2020-12-26 15:20:33.763306,QRXU4222-161,Stillwater,Cincinnati,2783.98
ORD#131006328,2020-09-27 09:27:33.763316,JYHO8122-677,Missoula,Paterson,1314.83
ORD#131006441,2017-08-09 04:31:33.763326,CSZH0524-781,Parma Heights,Buckeye,758.85
ORD#131006555,2020-01-22 17:15:33.763336,TQNQ5639-364,Raymore,Burlington,2319.59
ORD#131006670,2024-10-25 15:09:33.763346,MXYN8807-678,Longmont,North Port,4013.0115
ORD#131006786,2021-10-30 05:12:33.763356,QGXV5198-250,Topeka,Homer Glen,3554.19
ORD#131006903,2022-10-17 12:58:33.763365,SQHT5612-555,Port Chester,Moraga,2724.633
ORD#131007021,2017-06-24 13:36:33.763376,OGTA8175-944,Covington,Ocean Springs,3109.635
ORD#131007140,2019-10-23 14:47:33.763387,SMYZ6111-504,New Berlin,Janesville,2700.97
ORD#131007260,2017-08-23 15:48:33.763398,NLPC7901-853,Philadelphia,Twin Falls,1165.93
ORD#131007381,2016-04-18 08:49:33.763409,ZIXZ9549-178,Glendora,Grandville,2848.95
ORD#131007503,2023-07-25 11:13:33.763421,RXXW4349-248,Torrington,Hannibal,952.23
ORD#131007626,2021-03-28 15:44:33.763432,PIJZ9919-641,Inglewood,Sumter,2146.5488
ORD#131007750,2021-01-03 02:09:33.763443,UTYV3572-804,North Charleston,Salisbury,943.97
ORD#131007875,2016-09-25 00:23:33.763454,CPTO7744-071,Brentwood,Allen Park,690.93
ORD#131008001,2018-05-08 13:56:33.763469,RNJM7748-032,Walla Walla,McKinney,2792.4880000000003
ORD#131008128,2019-10-11 14:18:33.763480,GAEZ2774-498,North Tonawanda,Paramount,2852.937
ORD#131008256,2022-08-02 20:14:33.763493,UBNB1242-175,Cleveland,Bettendorf,1859.6248
ORD#131008385,2023-12-02 14:07:33.763511,HVCB1004-511,Slidell,Alice,2401.83
ORD#131008515,2016-08-28 11:59:33.763523,QLGP4862-668,Lubbock,Griffin,3565.557
ORD#131008646,2018-07-27 16:28:33.763534,EJQP8201-900,SeaTac,Plantation,2942.163
ORD#131008778,2015-06-16 00:17:33.763545,HARB7311-713,Albuquerque,Lemon Grove,324.03
