ledger_id,transaction_id,account_id,ledger_type,amount,entry_date
6783377,477-FDN-428991,263609,Equity,1120.55,2019-09-18 23:14:48.124351
5904304,538-DYK-950232,845020,Expense,485.23,2022-05-04 23:14:48.124351
5114430,268-DVP-884020,93277,Asset,639.56,2023-02-18 23:14:48.124351
6029050,798-QPG-299425,186582,Liability,771.99,2021-11-15 23:14:48.124351
8041077,366-CBF-659353,83665,Income,860.62,2020-11-27 23:14:48.124351
8088851,266-DEN-440629,365576,Liability,1388.36,2020-12-11 23:14:48.124351
6823589,805-XEX-212904,418803,Income,1168.49,2019-12-15 23:14:48.124351
8064063,555-ZON-980106,270855,Asset,1462.85,2021-02-09 23:14:48.124351
6633630,561-YFT-924686,645239,Equity,1025.03,2020-10-19 23:14:48.124351
6795730,510-KYL-693803,882672,Equity,971.56,2023-05-15 23:14:48.124351
6074517,915-PHN-817560,142520,Equity,272.48,2022-03-12 23:14:48.124351
8057824,760-AAR-53165,708120,Equity,1455.77,2018-10-14 23:14:48.124351
6837192,877-UQV-532485,786202,Expense,1057.69,2018-07-31 23:14:48.124351
6047000,640-LTI-450645,674143,Asset,513.25,2022-11-20 23:14:48.124351
6265518,649-DXS-77132,553813,Expense,498.58,2019-07-10 23:14:48.124351
7445438,943-XFS-188254,389993,Liability,1186.34,2021-03-28 23:14:48.124351
7230521,695-NGV-7765,988714,Income,313.05,2023-03-12 23:14:48.124351
6141639,635-YBC-102336,57743,Liability,1336.13,2022-08-09 23:14:48.124351
6092758,012-MLI-288644,344178,Equity,973.97,2018-06-27 23:14:48.124351
5894418,789-FNJ-519419,210571,Income,921.17,2018-05-29 23:14:48.124351
7549868,640-BIM-747904,420122,Equity,544.52,2019-10-10 23:14:48.124351
5612350,525-UHP-130234,536674,Income,533.07,2019-11-21 23:14:48.124351
7013516,169-EQT-156624,71628,Income,749.03,2021-02-05 23:14:48.124351
7257088,691-WMC-599354,695855,Asset,1334.07,2022-07-11 23:14:48.124351
6189919,683-FXC-190415,330095,Expense,794.68,2023-07-08 23:14:48.124351
5549896,051-TNY-548519,3900,Liability,1192.07,2022-02-13 23:14:48.124351
6412376,258-LFE-602164,364250,Expense,541.28,2024-02-25 23:14:48.124351
8019272,443-JCN-352395,335682,Liability,1005.23,2022-10-28 23:14:48.124351
6042020,101-DJC-948988,674407,Income,1009.04,2021-02-05 23:14:48.124351
5272444,329-RWY-550480,988815,Expense,1223.22,2021-07-10 23:14:48.124351
6944531,229-GTZ-686000,905880,Income,1454.25,2023-01-16 23:14:48.124351
7715764,425-YMZ-287110,340591,Expense,1473.27,2021-03-06 23:14:48.124351
5443093,199-TOJ-891924,458541,Equity,950.59,2020-01-17 23:14:48.124351
5732828,200-BZK-305147,150965,Equity,301.75,2023-05-29 23:14:48.124351
7839500,080-SDG-832316,2428,Income,285.23,2019-03-17 23:14:48.124351
5877700,908-GHD-689449,530381,Income,1397.27,2021-09-07 23:14:48.124351
7596747,751-ZLH-795513,732067,Income,260.96,2022-09-20 23:14:48.124351
5730086,724-CEV-210196,122221,Expense,716.18,2021-05-30 23:14:48.124351
7202309,822-BSJ-227717,634090,Income,585.96,2019-10-07 23:14:48.124351
5140142,282-BIF-792888,643167,Asset,1450.29,2021-09-30 23:14:48.124351
7344439,138-MUK-82392,95784,Expense,1298.27,2019-04-28 23:14:48.124351
6716231,458-OWL-919522,780356,Liability,430.23,2022-11-15 23:14:48.124351
6684080,173-YTS-362960,855341,Equity,471.88,2022-04-01 23:14:48.124351
5466302,788-FMV-125961,912907,Liability,793.28,2023-05-31 23:14:48.124351
6046603,032-KHA-716844,343558,Income,210.95,2019-12-07 23:14:48.124351
5941415,406-LDO-318011,242365,Liability,1225.02,2022-12-26 23:14:48.124351
7472059,066-TUM-601246,395458,Expense,1221.39,2021-08-13 23:14:48.124351
6842032,151-BMO-924134,734630,Equity,1169.33,2022-08-01 23:14:48.124351
6524896,393-FKZ-68664,475200,Equity,921.64,2023-11-26 23:14:48.124351
5356267,314-SFD-423329,738378,Income,809.99,2021-02-26 23:14:48.124351
5878035,032-SYK-445615,416492,Income,307.32,2020-11-08 23:14:48.124351
6988954,996-LNL-165328,799181,Equity,707.16,2021-01-10 23:14:48.124351
8093828,088-NVV-785803,156082,Expense,1158.77,2023-04-20 23:14:48.124351
7868068,140-GDB-69578,804781,Asset,487.15,2021-02-05 23:14:48.124351
6227765,120-ESM-169377,921828,Income,941.46,2021-01-21 23:14:48.124351
7336930,772-FZS-255097,955420,Income,1240.45,2022-08-31 23:14:48.124351
7388441,684-JQL-119307,825802,Asset,565.98,2021-12-25 23:14:48.124351
6468139,985-NJM-140188,533871,Asset,581.02,2024-01-27 23:14:48.124351
6738653,545-YNY-875195,253154,Equity,821.67,2019-08-19 23:14:48.124351
5905702,781-AHC-824144,622781,Income,474.16,2018-12-30 23:14:48.124351
5120231,503-EGZ-815463,622347,Expense,434.63,2021-03-03 23:14:48.124351
6044074,700-ALA-690670,808661,Income,893.44,2021-04-14 23:14:48.124351
6944127,129-BFU-963617,96243,Expense,1158.93,2020-02-05 23:14:48.124351
5607358,336-AYB-640115,482750,Expense,386.06,2021-11-17 23:14:48.124351
6556454,868-AZN-309271,405161,Asset,988.39,2021-11-26 23:14:48.124351
7809391,877-ZVC-354095,75033,Asset,1424.97,2023-10-18 23:14:48.124351
5779817,872-XZF-953426,49519,Asset,967.76,2018-08-04 23:14:48.124351
6510517,402-IXO-743625,379799,Expense,1055.38,2022-11-02 23:14:48.124351
6059865,009-GIP-668254,201815,Income,1430.1,2022-10-13 23:14:48.124351
7483145,692-BEX-183362,80086,Expense,932.17,2023-05-24 23:14:48.124351
7904298,176-NBE-177077,493369,Expense,853.2,2019-03-25 23:14:48.124351
8026757,539-QNB-945833,675087,Expense,1201.72,2021-11-08 23:14:48.124351
6920756,194-QWN-24816,210035,Income,565.62,2019-08-19 23:14:48.124351
6147697,567-NBC-369137,962904,Asset,527.76,2021-08-02 23:14:48.124351
6247454,264-NKO-353703,225890,Expense,307.62,2020-03-13 23:14:48.124351
7145417,631-HFN-176467,920289,Equity,1106.48,2024-01-01 23:14:48.124351
7714924,658-LTM-838525,509632,Asset,1452.1,2019-11-14 23:14:48.124351
6893791,027-YOH-962444,31675,Income,1063.59,2022-12-02 23:14:48.124351
5364905,132-IFD-704385,411156,Income,542.34,2018-10-07 23:14:48.124351
7686279,803-BPS-925924,688772,Asset,1244.76,2021-07-29 23:14:48.124351
7396411,507-BGG-844068,184041,Asset,1288.06,2023-06-07 23:14:48.124351
6890242,392-IPW-582195,962877,Liability,556.22,2021-10-21 23:14:48.124351
6459669,130-CJQ-965675,237898,Asset,626.89,2022-09-27 23:14:48.124351
6333950,169-HMD-378364,538522,Expense,309.79,2020-02-09 23:14:48.124351
5126217,315-QOT-442470,12950,Asset,1451.86,2018-07-03 23:14:48.124351
5454904,335-EDO-407946,562018,Asset,171.41,2021-04-26 23:14:48.124351
7237412,824-LAS-277826,457389,Equity,990.95,2021-06-30 23:14:48.124351
5268044,479-PIG-611829,772958,Asset,1292.33,2022-05-16 23:14:48.124351
6262718,234-PDX-840754,12785,Expense,795.36,2023-04-24 23:14:48.124351
5710645,753-FQX-189367,139036,Equity,1082.24,2023-11-07 23:14:48.124351
7410877,901-PER-138526,303782,Liability,1182.32,2022-06-29 23:14:48.124351
5702531,182-YCQ-138609,828644,Equity,1286.87,2021-06-22 23:14:48.124351
6952408,596-YNA-590390,765180,Equity,508.11,2022-03-08 23:14:48.124351
7460738,454-KBV-801062,407409,Asset,1063.24,2018-10-16 23:14:48.124351
5492091,172-QZZ-455070,450832,Liability,1263.56,2022-10-16 23:14:48.124351
7296734,494-XFK-486503,299606,Income,167.59,2018-05-19 23:14:48.124351
5366271,089-HCQ-43955,347076,Asset,1247.91,2023-06-27 23:14:48.124351
6152144,757-PRQ-209299,830656,Equity,1027.48,2023-11-07 23:14:48.124351
5686217,560-JIY-765279,400376,Liability,1388.25,2022-02-15 23:14:48.124351
7659575,673-COR-59172,635716,Asset,633.21,2019-11-23 23:14:48.124351
6581613,922-JEJ-839293,58439,Income,1324.81,2020-09-02 23:14:48.124351
6508374,439-GCN-920786,930645,Income,685.73,2023-01-28 23:14:48.124351
7513892,491-GSA-441356,301749,Liability,1099.42,2018-12-25 23:14:48.124351
7187225,446-KJX-650435,509255,Income,472.71,2024-03-01 23:14:48.124351
6890247,277-CIM-398870,520117,Income,1301.28,2024-01-01 23:14:48.124351
6141625,653-EDB-272609,261230,Income,1270.13,2022-02-09 23:14:48.124351
6960073,945-IRL-586283,32673,Liability,944.43,2022-01-20 23:14:48.124351
6651084,321-FQY-440478,873702,Expense,319.67,2020-09-24 23:14:48.124351
5844337,322-QYT-707448,12779,Equity,349.88,2020-03-01 23:14:48.124351
6261183,248-UTZ-283538,587073,Equity,1059.13,2022-03-16 23:14:48.124351
7193665,015-AWY-586978,378024,Asset,464.66,2019-10-08 23:14:48.124351
7495374,216-GOZ-816666,389438,Equity,1437.55,2021-05-14 23:14:48.124351
7087563,012-IUY-6480,846001,Asset,1010.99,2019-06-05 23:14:48.124351
5705957,150-YNV-622270,194519,Asset,1317.5,2021-02-24 23:14:48.124351
7191666,637-CUR-52388,515364,Expense,986.94,2022-10-22 23:14:48.124351
6941840,573-KSQ-261646,739507,Asset,759.76,2021-07-13 23:14:48.124351
6593025,954-DVX-748381,260392,Expense,638.9,2021-03-13 23:14:48.124351
7129528,507-AAS-238370,676595,Asset,866.87,2018-07-21 23:14:48.124351
5196570,823-GQH-665539,486452,Asset,1080.7,2021-10-05 23:14:48.124351
8058510,646-DAT-981044,266679,Liability,1431.61,2020-11-10 23:14:48.124351
6668515,459-GUH-788285,463757,Equity,638.02,2021-12-12 23:14:48.124351
5989906,593-VJH-586138,296621,Asset,956.8,2021-08-13 23:14:48.124351
5189237,091-VMC-412258,559333,Liability,235.3,2018-11-14 23:14:48.124351
6474023,005-EVX-815403,263188,Income,202.0,2021-09-21 23:14:48.124351
6005456,435-HFO-276194,858225,Expense,464.25,2019-09-17 23:14:48.124351
7060461,963-FDF-174894,728546,Asset,857.73,2023-07-26 23:14:48.124351
5735378,240-NTF-845206,815321,Liability,262.01,2022-02-15 23:14:48.124351
7817532,795-MBT-661394,556857,Liability,562.89,2020-01-19 23:14:48.124351
7130711,253-FWR-690625,517896,Asset,436.12,2023-02-24 23:14:48.124351
6736048,717-TAJ-825369,352961,Equity,624.86,2023-12-22 23:14:48.124351
7033511,634-PKF-71440,414113,Income,829.29,2019-12-13 23:14:48.124351
6273619,750-GEE-827271,60693,Liability,1223.98,2023-06-29 23:14:48.124351
5592141,354-CHW-364754,987414,Liability,910.93,2019-01-07 23:14:48.124351
7301657,990-RYS-208566,517989,Expense,1369.68,2021-12-16 23:14:48.124351
7861061,292-NAH-805156,895927,Expense,1292.59,2024-01-26 23:14:48.124351
5379438,414-BDS-861981,624140,Asset,1231.25,2019-11-27 23:14:48.124351
5196456,473-SNR-898187,625624,Asset,544.44,2018-10-18 23:14:48.124351
6785080,156-JLK-632937,564662,Equity,1468.48,2019-02-17 23:14:48.124351
5647136,089-ILD-347152,384885,Equity,1099.13,2024-02-29 23:14:48.124351
8061961,955-BLM-587815,803701,Asset,1272.74,2020-09-11 23:14:48.124351
5877466,539-BPB-63056,752142,Equity,270.77,2022-09-09 23:14:48.124351
7567682,399-FUD-826815,884376,Expense,843.11,2021-10-13 23:14:48.124351
7273923,306-ZKE-570369,710766,Equity,730.0,2019-07-01 23:14:48.124351
6294044,048-OFV-632674,93145,Income,512.74,2020-09-14 23:14:48.124351
6646126,771-XZR-220022,584627,Expense,1089.93,2022-08-08 23:14:48.124351
5976608,762-BVT-72262,321495,Equity,991.28,2021-06-04 23:14:48.124351
6519955,336-PUC-186989,465651,Liability,1416.9,2019-06-05 23:14:48.124351
7113869,878-VIX-862449,491139,Income,790.29,2021-02-11 23:14:48.124351
6905087,991-DJW-464544,252729,Income,1309.14,2023-10-12 23:14:48.124351
6397061,891-JEP-480217,108418,Liability,359.37,2018-05-28 23:14:48.124351
6799298,805-BEN-501152,498382,Equity,170.53,2022-05-01 23:14:48.124351
7131002,750-TWW-961674,326586,Equity,466.03,2023-08-17 23:14:48.124351
6077685,816-DDY-128196,716118,Asset,1427.42,2019-03-17 23:14:48.124351
6517717,555-BDD-708513,110276,Income,318.69,2019-10-23 23:14:48.124351
