loan_id,customer_id,loan_type,principal_amount,interest_rate,term_month,start_date,end_date
1000000,162695,Education,1830085.84,8.31,61,2021-06-05 23:15:41.642873,2026-06-09 23:15:41.642873
1000001,587054,Business,616007.44,9.49,96,2022-11-15 23:15:41.642873,2030-10-04 23:15:41.642873
1000003,696982,Business,1956493.12,14.88,43,2020-08-06 23:15:41.642873,2024-02-17 23:15:41.642873
1000006,146869,Education,1539457.76,13.54,114,2013-11-19 23:15:41.642873,2023-04-01 23:15:41.642873
1000010,706780,Housing,509276.5,11.77,103,2021-10-15 23:15:41.642873,2030-04-01 23:15:41.642873
1000015,897897,Personal,1292599.51,14.83,67,2016-05-08 23:15:41.642873,2021-11-08 23:15:41.642873
1000021,294454,Personal,1552862.81,7.75,41,2019-07-05 23:15:41.642873,2022-11-16 23:15:41.642873
1000028,897321,Business,1688965.53,15.5,82,2017-05-30 23:15:41.642873,2024-02-23 23:15:41.642873
1000036,743456,Vehicle,755456.97,9.28,36,2016-04-09 23:15:41.642873,2019-03-25 23:15:41.642873
1000045,57032,Education,1520141.29,11.83,103,2019-10-04 23:15:41.642873,2028-03-20 23:15:41.642873
1000055,154348,Housing,1416809.15,8.8,51,2015-02-21 23:15:41.642873,2019-05-01 23:15:41.642873
1000066,31410,Vehicle,1177889.34,10.17,81,2016-06-22 23:15:41.642873,2023-02-16 23:15:41.642873
1000078,585289,Education,1125285.05,11.33,76,2021-01-14 23:15:41.642873,2027-04-13 23:15:41.642873
1000091,458755,Housing,1755255.1,10.96,48,2016-12-01 23:15:41.642873,2020-11-10 23:15:41.642873
1000105,233494,Business,926212.45,8.92,58,2017-07-13 23:15:41.642873,2022-04-18 23:15:41.642873
1000120,571077,Business,641848.91,13.17,62,2019-05-30 23:15:41.642873,2024-07-02 23:15:41.642873
1000136,852161,Housing,1711075.42,12.76,52,2020-05-13 23:15:41.642873,2024-08-20 23:15:41.642873
1000153,691154,Business,1522870.37,12.4,89,2016-06-29 23:15:41.642873,2023-10-21 23:15:41.642873
1000171,194437,Personal,1615061.13,12.03,71,2023-03-26 23:15:41.642873,2029-01-23 23:15:41.642873
1000190,198988,Personal,550189.41,12.53,112,2014-01-04 23:15:41.642873,2023-03-18 23:15:41.642873
1000210,660175,Business,617652.25,12.53,44,2015-07-27 23:15:41.642873,2019-03-08 23:15:41.642873
1000231,885277,Vehicle,776313.3,13.31,55,2024-01-17 23:15:41.642873,2028-07-24 23:15:41.642873
1000253,52633,Personal,593612.65,14.49,100,2017-02-08 23:15:41.642873,2025-04-27 23:15:41.642873
1000276,419838,Education,1173182.48,13.97,59,2016-02-16 23:15:41.642873,2020-12-21 23:15:41.642873
1000300,887213,Vehicle,815415.61,13.32,95,2013-10-13 23:15:41.642873,2021-08-02 23:15:41.642873
1000325,930090,Vehicle,843717.74,11.08,107,2015-05-22 23:15:41.642873,2024-03-05 23:15:41.642873
1000351,976347,Education,1390660.13,8.53,91,2016-06-04 23:15:41.642873,2023-11-25 23:15:41.642873
1000378,432006,Business,1862604.51,15.61,118,2017-09-24 23:15:41.642873,2027-06-04 23:15:41.642873
1000406,83888,Personal,1823569.61,9.4,56,2020-03-23 23:15:41.642873,2024-10-28 23:15:41.642873
1000435,301449,Business,1516616.1,7.86,38,2015-11-02 23:15:41.642873,2018-12-16 23:15:41.642873
1000465,339780,Education,835713.86,9.32,40,2015-09-21 23:15:41.642873,2019-01-03 23:15:41.642873
1000496,819021,Personal,1652762.33,8.82,47,2021-04-11 23:15:41.642873,2025-02-19 23:15:41.642873
1000528,204656,Business,1927007.68,13.85,107,2013-01-26 23:15:41.642873,2021-11-10 23:15:41.642873
1000561,919166,Housing,867264.28,10.97,81,2022-02-19 23:15:41.642873,2028-10-15 23:15:41.642873
1000595,210815,Business,1149633.51,11.42,40,2021-04-24 23:15:41.642873,2024-08-06 23:15:41.642873
1000630,856706,Business,620087.14,13.04,98,2024-05-14 23:15:41.642873,2032-06-01 23:15:41.642873
1000666,373082,Business,1464437.06,12.78,63,2014-11-13 23:15:41.642873,2020-01-16 23:15:41.642873
1000703,937935,Vehicle,1520396.01,15.43,68,2024-08-06 23:15:41.642873,2030-03-08 23:15:41.642873
1000741,860668,Education,913029.98,9.54,80,2019-08-16 23:15:41.642873,2026-03-12 23:15:41.642873
1000780,81547,Education,801016.94,13.19,45,2019-07-12 23:15:41.642873,2023-03-23 23:15:41.642873
1000820,872817,Housing,1564262.79,10.7,94,2016-09-17 23:15:41.642873,2024-06-07 23:15:41.642873
1000861,442045,Business,1844837.52,12.44,54,2021-01-21 23:15:41.642873,2025-06-29 23:15:41.642873
1000903,799496,Housing,847067.68,13.67,79,2024-04-15 23:15:41.642873,2030-10-11 23:15:41.642873
1000946,491136,Personal,996065.24,14.43,48,2013-07-20 23:15:41.642873,2017-06-29 23:15:41.642873
1000990,543271,Education,783979.7,14.9,76,2012-12-04 23:15:41.642873,2019-03-03 23:15:41.642873
1001035,421158,Housing,1256608.47,11.98,97,2020-03-02 23:15:41.642873,2028-02-19 23:15:41.642873
1001081,523912,Vehicle,604457.41,14.48,104,2023-12-01 23:15:41.642873,2032-06-16 23:15:41.642873
