transaction_id,src_account_id,dest_account_id,amount,currency_code,transaction_date,tran_status
529-GGS-668191,76734,329678,1435.68,$,2021-07-06 23:13:26.632881,TranStatus.P
121-YWR-498869,438077,93614,988.43,$,2021-04-13 23:13:26.632881,TranStatus.C
530-FAS-930240,460781,898444,1804.56,$,2021-04-16 23:13:26.632881,TranStatus.F
811-XYF-318284,273548,320321,994.67,$,2021-12-06 23:13:26.632881,TranStatus.C
340-ZTP-782936,440883,953061,594.51,$,2022-01-14 23:13:26.632881,TranStatus.C
182-MKG-944446,434302,300840,1969.7,$,2023-07-24 23:13:26.632881,TranStatus.C
487-UFN-36130,187184,455875,1828.95,$,2023-01-25 23:13:26.632881,TranStatus.P
312-GPD-979451,798177,676829,1033.85,$,2021-06-12 23:13:26.632881,TranStatus.F
935-EZX-319976,827544,761286,1382.59,$,2022-03-09 23:13:26.632881,TranStatus.F
479-TXD-719235,535819,505919,256.47,$,2023-10-05 23:13:26.632881,TranStatus.F
478-OCL-16196,118252,759407,2145.15,$,2023-11-18 23:13:26.632881,TranStatus.F
874-TWP-743500,516650,446950,1167.19,$,2021-11-28 23:13:26.632881,TranStatus.F
408-RJH-555038,568040,407469,478.64,$,2021-12-10 23:13:26.632881,TranStatus.F
603-NUU-112803,749040,463696,1411.76,$,2023-05-05 23:13:26.632881,TranStatus.F
646-YZD-35596,477692,852142,1818.65,$,2022-09-12 23:13:26.632881,TranStatus.P
458-NAE-789577,783490,191060,265.94,$,2021-03-10 23:13:26.632881,TranStatus.P
274-UTT-988059,890823,107680,2123.88,$,2022-08-24 23:13:26.632881,TranStatus.F
097-BDX-644296,38951,44722,230.51,$,2023-01-03 23:13:26.632881,TranStatus.F
463-ITG-280531,302880,682126,1509.31,$,2022-08-11 23:13:26.632881,TranStatus.F
488-DBB-411522,747449,311953,758.23,$,2021-05-24 23:13:26.632881,TranStatus.C
884-CCQ-900926,210557,77482,974.84,$,2023-09-10 23:13:26.632881,TranStatus.P
839-OKF-662799,945128,317363,653.79,$,2021-06-26 23:13:26.632881,TranStatus.F
428-YJW-904181,872784,967742,1856.55,$,2022-08-03 23:13:26.632881,TranStatus.P
493-CHK-446439,323951,9995,2024.58,$,2021-03-30 23:13:26.632881,TranStatus.F
767-KSM-597919,184377,134450,2426.17,$,2021-08-10 23:13:26.632881,TranStatus.C
