fc_id,fc_release_to_mfg_date,fc_release_to_mfg_count,fc_arrival_from_mfg_date,fc_arrival_from_mfg_count,fc_inspection_date,fc_mfg_facility_id,fc_release_to_shipment_date,mfg_facility_id,to_mfg_facility_arrival_date,from_mfg_facility_departure_date,mfg_facility_input_count,mfg_facility_output_count,mfg_facility_backlog_count,mfg_facility_product_capability_count
FC#129914,2022-09-24 04:51:36.886812,518,2022-10-03 04:51:36.886812,794,2022-07-27 03:36:36.886812,MFG_ID#1675,2022-09-13 04:51:36.886812,MFG_ID#1675,2022-09-27 04:51:36.886812,2022-10-01 04:51:36.886812,138889,121021,17868,68
FC#195528,2016-12-19 11:04:36.886868,579,2016-12-31 11:04:36.886868,504,2021-09-06 07:52:36.886868,MFG_ID#1791,2016-12-14 11:04:36.886868,MFG_ID#1791,2016-12-21 11:04:36.886868,2016-12-22 11:04:36.886868,110815,100013,10802,149
FC#168572,2023-02-12 06:00:36.886888,149,2023-02-22 06:00:36.886888,831,2023-12-18 13:13:36.886888,MFG_ID#752,2023-02-03 06:00:36.886888,MFG_ID#752,2023-02-14 06:00:36.886888,2023-02-18 06:00:36.886888,140976,111654,29322,131
FC#24077,2022-02-03 21:43:36.886902,43,2022-02-12 21:43:36.886902,313,2021-12-28 09:04:36.886902,MFG_ID#1185,2022-02-03 21:43:36.886902,MFG_ID#1185,2022-02-05 21:43:36.886902,2022-02-08 21:43:36.886902,117598,73468,44130,114
FC#163064,2022-07-30 05:17:36.886913,853,2022-08-10 05:17:36.886913,192,2021-04-23 23:18:36.886913,MFG_ID#537,2022-08-09 05:17:36.886913,MFG_ID#537,2022-08-03 05:17:36.886913,2022-08-06 05:17:36.886913,85070,56823,28247,129
FC#175868,2021-06-02 18:46:36.886931,842,2021-06-14 18:46:36.886931,928,2021-09-11 16:04:36.886931,MFG_ID#1025,2021-05-21 18:46:36.886931,MFG_ID#1025,2021-06-05 18:46:36.886931,2021-06-06 18:46:36.886931,97055,59837,37218,114
FC#198404,2021-12-24 07:22:36.886943,235,2022-01-03 07:22:36.886943,500,2023-07-14 06:35:36.886943,MFG_ID#1711,2022-01-16 07:22:36.886943,MFG_ID#1711,2021-12-26 07:22:36.886943,2021-12-30 07:22:36.886943,174186,154007,20179,89
FC#106420,2021-02-27 09:49:36.886954,448,2021-03-10 09:49:36.886954,177,2021-04-28 09:03:36.886954,MFG_ID#1535,2021-02-23 09:49:36.886954,MFG_ID#1535,2021-03-03 09:49:36.886954,2021-03-05 09:49:36.886954,151976,135584,16392,114
FC#52362,2017-02-22 07:19:36.886965,699,2017-03-01 07:19:36.886965,798,2022-04-18 08:58:36.886965,MFG_ID#1492,2017-02-08 07:19:36.886965,MFG_ID#1492,2017-02-24 07:19:36.886965,2017-02-26 07:19:36.886965,79296,63048,16248,133
FC#88747,2015-12-22 23:52:36.886977,537,2015-12-31 23:52:36.886977,483,2021-10-25 04:31:36.886977,MFG_ID#641,2015-12-09 23:52:36.886977,MFG_ID#641,2015-12-26 23:52:36.886977,2015-12-28 23:52:36.886977,129247,95142,34105,112
